County,Total apprehensions,Population,Apprehensions per capita
Adams,63,19452,323.8742
Whatcom,540,216812,249.0637
Okanogan,82,41638,196.9355
Grant,137,94860,144.4234
Franklin,128,90660,141.1869
Grays Harbor,53,71967,73.6449
Mason,41,62627,65.467
Pacific,9,21281,42.2912
Skagit,50,123907,40.3528
Ferry,3,7576,39.5987
Klickitat,8,21396,37.3902
Benton,72,194168,37.0813
Washington state total,2543,7294336,34.8627
King,708,2163257,32.7284
Chelan,22,75757,29.0402
Spokane,132,497875,26.5127
Lewis,20,76947,25.9919
Yakima,63,249325,25.2682
Clark,85,465384,18.2645
Walla Walla,10,60236,16.6014
Clallam,12,74487,16.1102
Snohomish,122,786620,15.5094
Pierce,117,859840,13.6072
Cowlitz,14,105112,13.3191
Whitman,6,48593,12.3475
Skamania,1,11620,8.6059
Kitsap,20,262475,7.6198
Stevens,3,44214,6.7852
Kittitas,3,44825,6.6927
Island,4,81636,4.8998
Douglas,2,41371,4.8343
Thurston,13,274684,4.7327
Asotin,NA,22337,NA
Columbia,NA,4001,NA
Garfield,NA,2224,NA
Jefferson,NA,30856,NA
Lincoln,NA,10435,NA
Pend Oreille,NA,13219,NA
San Juan,NA,16473,NA
Wahkiakum,NA,4189,NA
